name,type,district,city,address,phone,website,mapsUrl
Bệnh viện Đa khoa khu vực Lào Cai - Cam Đường,public,,,,,,"https://www.google.com/maps/search/?api=1&query=22.4935936,103.9580419"
Bệnh viện Đa khoa khu vực Lệ Thuỷ,public,,,,,,"https://www.google.com/maps/search/?api=1&query=17.220171,106.78639"
Bệnh viện Đa khoa khu vực Mai Sơn,public,,,,,,"https://www.google.com/maps/search/?api=1&query=21.214085,104.1043782"
Bệnh viện Đa khoa khu vực Mèo Vạc,public,,,,,,"https://www.google.com/maps/search/?api=1&query=23.1725036,105.4110755"
Bệnh viện Đa khoa khu vực miền núi phía Bắc Quảng Nam,public,,,,,,"https://www.google.com/maps/search/?api=1&query=15.8850911,108.1182515"
Bệnh viện Đa khoa khu vực Minh Hoá,public,,,,,,"https://www.google.com/maps/search/?api=1&query=17.8012009,105.973994"
Bệnh viện Đa khoa khu vực Móng Cái,public,,,Đường Tuệ Tĩnh,,,"https://www.google.com/maps/search/?api=1&query=21.5252547,107.9607917"
Bệnh viện Đa khoa khu vực Móng Cái (cơ sở 2),public,,,,,,"https://www.google.com/maps/search/?api=1&query=21.4489198,107.7520071"
Bệnh viện Đa khoa khu vực Móng Cái (cơ sở 3),public,,,,,,"https://www.google.com/maps/search/?api=1&query=21.3531545,107.6014266"
Bệnh viện Đa khoa khu vực Mộc Châu,public,,,,,,"https://www.google.com/maps/search/?api=1&query=20.8484136,104.6193566"
Bệnh viện Đa khoa khu vực Mường Khương,public,,,,,,"https://www.google.com/maps/search/?api=1&query=22.7625709,104.1270581"
Bệnh viện Đa khoa khu vực Mường La,public,,,,,,"https://www.google.com/maps/search/?api=1&query=21.5074047,104.0184367"
Bệnh viện Đa khoa khu vực Nà Chì,public,,,,,,"https://www.google.com/maps/search/?api=1&query=22.5117951,104.5127152"
Bệnh viên Đa khoa khu vực Nam Lý,public,,,,,,"https://www.google.com/maps/search/?api=1&query=20.5054573,106.1427193"
